"Species","Agriculture","Forestry","Fisheries","Health","ispathogen"
"Medicago polymorpha","Negative",NA,NA,NA,"Y"
"Medicago lupulina","Negative",NA,NA,NA,"N"
"Paracoccus marginatus","Negative",NA,NA,NA,"Y"
"Tilletia indica",NA,NA,NA,NA,"Y"
"Alternanthera philoxeroides","Negative","Negative","Negative","Negative","N"
"Alternanthera sessilis","Negative",NA,NA,NA,"N"
"Symphyotrichum novi-belgii",NA,NA,NA,NA,"N"
"Otiorhynchus sulcatus",NA,NA,NA,NA,"Y"
"Adenanthera pavonina","Negative","None","None, None","None","N"
"Blattella germanica","Negative",NA,NA,"Negative","Y"
"Epinephelus lanceolatus",NA,NA,NA,NA,"N"
"Adelges piceae",NA,NA,NA,NA,"Y"
"Adelges tsugae",NA,"Negative",NA,NA,"Y"
"Adoretus sinicus","Negative","Negative",NA,NA,"Y"
"Apis mellifera scutellata",NA,NA,NA,"Negative","N"
"Bocconia frutescens","Negative",NA,NA,NA,"Y"
"Aphelenchoides besseyi","exclude","exclude","exclude","exclude","exclude"
"epizootic haematopoietic necrosis",NA,NA,"Negative, Negative",NA,"N"
"Boerhavia coccinea","Negative",NA,NA,"Positive","N"
"Aphelenchoides fragariae","exclude","exclude","exclude","exclude","exclude"
"Aphelenchoides ritzemabosi","exclude","exclude","exclude","exclude","exclude"
"epizootic ulcerative syndrome",NA,NA,NA,NA,"Y"
"Boerhavia diffusa","Negative",NA,NA,NA,"Y"
"Spermacoce verticillata","Negative",NA,NA,"Negative","N"
"Channa micropeltes",NA,NA,NA,NA,"N"
"Dicrurus macrocercus",NA,NA,NA,NA,"N"
"Glyceria maxima","Negative",NA,NA,"Negative","N"
"Armillaria luteobubalina",NA,NA,NA,NA,"Y"
"Conopomorpha cramerella",NA,NA,NA,NA,"N"
"Arrhenatherum elatius","Negative",NA,NA,"Negative","Y"
"Pantherophis guttatus",NA,NA,NA,NA,"N"
"Hemidactylus frenatus",NA,NA,NA,NA,"N"
"Ctenosaura similis","Negative",NA,NA,NA,"N"
"Chrysomya bezziana","Negative",NA,NA,"Negative","N"
"Cichla ocellaris",NA,NA,NA,"Negative","N"
"Cichlasoma urophthalmum",NA,NA,NA,NA,"N"
"Eriocheir sinensis",NA,NA,"Negative","Negative","N"
"duck virus hepatitis",NA,NA,NA,NA,"N"
"Crassostrea gigas",NA,NA,"Positive, Positive",NA,"N"
"Crassostrea virginica",NA,NA,NA,NA,"N"
"Cherax destructor","Negative",NA,"Positive, Positive",NA,"Y"
"Cherax quadricarinatus",NA,NA,"Positive, Positive",NA,"N"
"Sweet potato feathery mottle virus","exclude","exclude","exclude","exclude","exclude"
"Tomato apical stunt viroid","exclude","exclude","exclude","exclude","exclude"
"Urtica dioica","Negative",NA,NA,"Negative","Y"
"Tectona grandis",NA,NA,NA,NA,"Y"
"Stellaria media",NA,NA,NA,NA,"N"
"Epipremnum pinnatum",NA,NA,NA,NA,"N"
"Thaumetopoea pityocampa",NA,NA,NA,NA,"Y"
"Thaumetopoea processionea","Negative","Negative",NA,"Negative","N"
"Thecodiplosis japonensis",NA,"Negative, Negative",NA,NA,"Y"
"Verbascum thapsus",NA,NA,NA,NA,"Y"
"Vespula germanica","Negative",NA,NA,"Negative","N"
"Thespesia populnea",NA,NA,NA,"Positive","N"
"Vespula pensylvanica",NA,"Negative",NA,"Negative","Y"
"Vespula vulgaris","Negative","Negative",NA,"Negative","Y"
"Xiphophorus hellerii",NA,NA,NA,NA,"N"
"Xiphophorus maculatus",NA,NA,NA,NA,"N"
"Tomato yellow leaf curl virus","exclude","exclude","exclude","exclude","exclude"
"Clitoria ternatea","Negative",NA,NA,"Positive","N"
"Phalaris arundinacea","Negative","None","None, None","None","N"
"Phalaris paradoxa","Negative",NA,NA,NA,"N"
"Epiphyas postvittana","Negative",NA,NA,NA,"N"
"Spartina densiflora",NA,NA,NA,NA,"Y"
"Spathodea campanulata","Negative",NA,NA,"Positive","Y"
"Spartium junceum",NA,NA,NA,"Negative","N"
"Toxoptera citricida",NA,NA,NA,NA,"Y"
"Typha angustifolia",NA,NA,NA,NA,"N"
"Typha domingensis","Negative",NA,"Negative",NA,"Y"
"Typha latifolia","Negative",NA,"Negative",NA,"Y"
"Aculops lycopersici",NA,NA,NA,NA,"Y"
"Brugmansia suaveolens",NA,NA,NA,"Negative","N"
"Rubus niveus","Negative","Negative",NA,NA,"Y"
"Kappaphycus",NA,NA,"Positive, Positive","Positive","N"
"Etlingera elatior",NA,NA,NA,NA,"N"
"Pelophylax cf. bedriagae",NA,NA,NA,NA,"N"
"Heteropsylla cubana",NA,NA,NA,NA,"Y"
"Eichhornia crassipes","Negative","None","Negative, Negative","Negative","Y"
"Eriobotrya japonica","Negative",NA,NA,"Positive and negative","N"
"Helianthus tuberosus","Negative","None","None, None","None","Y"
"Rhyacionia buoliana",NA,NA,NA,NA,"Y"
"Spodoptera exempta",NA,NA,NA,NA,"Y"
"Spodoptera frugiperda",NA,NA,NA,NA,"N"
"Helicoverpa armigera",NA,NA,NA,NA,"N"
"Portulaca quadrifida","Negative",NA,NA,NA,"N"
"Helicoverpa zea",NA,NA,NA,NA,"N"
"anguillicolosis",NA,NA,"Negative, Negative",NA,"N"
"Saccharum ravennae",NA,NA,NA,NA,"Y"
"Lasius neglectus",NA,NA,NA,NA,"N"
"Lumbricus terrestris",NA,"Negative",NA,NA,"N"
"Indigofera hirsuta",NA,NA,NA,NA,"Y"
"Indigofera suffruticosa","Negative",NA,NA,NA,"Y"
"Indigofera tinctoria",NA,NA,NA,"Negative","Y"
"Apiognomonia errabunda",NA,"Negative, Negative",NA,NA,"Y"
"Forficula auricularia","Negative",NA,NA,"Negative","Y"
"Drymaria cordata","Negative",NA,NA,NA,"N"
"Kalanchoe pinnata","Negative","None","None, None","None","Y"
"Gynaikothrips ficorum",NA,NA,NA,NA,"N"
"Genista monspessulana","Negative","Negative","None, None","None","N"
"Hydrocharis morsus-ranae",NA,NA,"Negative",NA,"N"
"Geoffroea decorticans","Negative","None","None, None","None","N"
"Hydrilla verticillata","Negative","None","Negative","Negative","N"
"Hylobius abietis",NA,NA,NA,NA,"Y"
"Mannheimia haemolytica","exclude","exclude","exclude","exclude","exclude"
"Phasianus colchicus",NA,NA,NA,NA,"N"
"bovine viral diarrhoea",NA,NA,NA,NA,"N"
"Leuciscus idus",NA,NA,NA,NA,"N"
"Leuciscus leuciscus",NA,NA,NA,NA,"N"
"Muntiacus reevesi","Negative","Negative",NA,NA,"Y"
"Macaca mulatta",NA,NA,NA,"Negative","N"
"Indigofera spicata","Negative",NA,NA,NA,"N"
"infectious pancreatic necrosis",NA,NA,"Negative, Negative",NA,"N"
"infectious haematopoietic necrosis",NA,NA,"Negative, Negative",NA,"N"
"Coleophora deauratella","Negative",NA,NA,NA,"N"
"Brachyponera chinensis",NA,NA,NA,"Negative","N"
"Amynthas agrestis",NA,NA,NA,NA,"N"
"Prymnesium parvum","Negative",NA,"Negative",NA,"N"
"Batrachochytrium salamandrivorans",NA,NA,NA,NA,"Y"
"Moneilema semipunctatum",NA,NA,NA,NA,"N"
"Heterotheca grandiflora",NA,NA,NA,NA,"N"
"Poa nemoralis",NA,NA,NA,NA,"N"
"Roystonea oleracea",NA,NA,NA,NA,"N"
"Rubus alceifolius","Negative","Negative",NA,NA,"Y"
"Rubus ellipticus","Negative","Negative","None, None","Positive","Y"
"Rubus fruticosus","Negative","Negative","None, None","Negative","Y"
"Phragmites australis","Negative",NA,NA,NA,"N"
"Portulaca oleracea","Negative","Negative","None, None","Positive","Y"
"Potato spindle tuber viroid","exclude","exclude","exclude","exclude","exclude"
"Sugarcane mosaic virus","exclude","exclude","exclude","exclude","exclude"
"Cameraria ohridella",NA,NA,NA,NA,"Y"
"Potamopyrgus antipodarum",NA,NA,NA,NA,"N"
"Schistocerca nitens",NA,NA,NA,NA,"N"
"Raoiella indica",NA,"Negative",NA,NA,"N"
"Raphanus raphanistrum",NA,NA,NA,NA,"N"
"Parthenolecanium persicae",NA,"None","None, None","None","Y"
"Poa annua","Negative",NA,NA,NA,"Y"
"Poa compressa",NA,NA,NA,NA,"N"
"Poa pratensis",NA,NA,NA,NA,"Y"
"Parthenium hysterophorus","Negative",NA,NA,"Negative","Y"
"Pteridium aquilinum","Negative","Negative","None, None","Negative","N"
"Rhus typhina","Negative",NA,NA,"Negative","N"
"Prunus serotina","Negative","Negative","None, None","None","Y"
"Rhynchophorus ferrugineus",NA,NA,NA,NA,"Y"
"Rhynchophorus palmarum",NA,NA,NA,NA,"N"
"Phakopsora euvitis","Negative",NA,NA,NA,"Y"
"Phakopsora meibomiae","Negative",NA,NA,NA,"Y"
"Phakopsora pachyrhizi",NA,NA,NA,NA,"Y"
"Diaspidiotus perniciosus",NA,NA,NA,NA,"N"
"Pseudomonas syringae pv. actinidiae","exclude","exclude","exclude","exclude","exclude"
"Pseudomonas savastanoi pv. savastanoi","exclude","exclude","exclude","exclude","exclude"
"Ralstonia solanacearum","exclude","exclude","exclude","exclude","exclude"
"Pseudaulacaspis pentagona",NA,NA,NA,NA,"N"
"Pseudococcus viburni","Negative",NA,NA,NA,"N"
"Planococcus citri","Negative",NA,NA,NA,"Y"
"Sansevieria hyacinthoides",NA,NA,NA,NA,"N"
"Sansevieria trifasciata",NA,NA,NA,NA,"N"
"Bos taurus","Negative","Negative",NA,"Positive","N"
"Bothriocephalus acheilognathi","Negative",NA,"Negative",NA,"N"
"Capra hircus","Negative","Negative",NA,NA,"N"
"Carcinus maenas","Negative",NA,"Negative","Negative","N"
"Bassia hyssopifolia","Negative",NA,NA,NA,"N"
"Alosa aestivalis",NA,NA,NA,NA,"N"
"Alosa pseudoharengus","Negative",NA,"Negative",NA,"N"
"Anthoxanthum odoratum","Negative",NA,NA,NA,"Y"
"Cortaderia selloana",NA,NA,NA,"Negative","Y"
"Lepidium draba","Negative","Negative","None, None","Negative","N"
"Coconut cadang-cadang viroid","exclude","exclude","exclude","exclude","exclude"
"Leifsonia xyli subsp. xyli","exclude","exclude","exclude","exclude","exclude"
"Fusicladium effusum","Negative",NA,NA,NA,"Y"
"Carpobrotus edulis",NA,NA,NA,NA,"N"
"Cactoblastis cactorum","Negative",NA,NA,NA,"N"
"Calotropis procera","Negative","Negative","Negative, Negative","Negative","Y"
"Claviceps africana","Negative",NA,NA,NA,"Y"
"Claviceps fusiformis","Negative",NA,"Negative","Negative","Y"
"Claviceps sorghi","Negative",NA,NA,NA,"Y"
"Cotoneaster horizontalis",NA,NA,NA,"Negative","N"
"Catharanthus roseus",NA,NA,NA,"Positive and negative","N"
"Chamaecrista nictitans",NA,NA,NA,NA,"Y"
"Cowpea aphid-borne mosaic virus","exclude","exclude","exclude","exclude","exclude"
"Aulacaspis yasumatsui",NA,"Negative",NA,NA,"N"
"Cyperus iria",NA,NA,NA,NA,"N"
"Cyperus rotundus","Negative",NA,NA,NA,"Y"
"Cyprinus carpio",NA,NA,"Negative",NA,"N"
"Cynara cardunculus","Negative",NA,NA,"Negative","N"
"Securigera varia","Negative",NA,NA,"Negative","N"
"Cornus sericea",NA,NA,NA,NA,"N"
"Chrysodeixis chalcites",NA,NA,NA,NA,"N"
"Brevipalpus phoenicis",NA,NA,NA,NA,"Y"
"Chrysomyxa rhododendri",NA,"Negative",NA,NA,"Y"
"Celastrus orbiculatus","Negative","Negative","None, None","None","N"
"Convolvulus arvensis",NA,NA,NA,NA,"Y"
"Cestrum nocturnum","Negative",NA,NA,"Negative","N"
"Centaurea diffusa","Negative","None","None, None","None","N"
"Centaurea stoebe subsp. micranthos","Negative","None","None, None","Negative","N"
"Centaurea solstitialis","Negative","None","None, None","None","N"
"Centella asiatica","Negative","Negative",NA,"Negative","N"
"Conotrachelus nenuphar","Negative",NA,NA,"Negative","N"
"Delairea odorata","Negative","None","Negative, Negative","None","N"
"Cupressus arizonica",NA,NA,NA,NA,"N"
"scrapie",NA,NA,NA,NA,"N"
"Pimephales promelas",NA,NA,NA,NA,"N"
"surra",NA,NA,NA,NA,"N"
"swine vesicular disease",NA,NA,NA,NA,"N"
"Portunus segnis",NA,NA,NA,NA,"N"
"Pycnonotus jocosus","Negative",NA,NA,NA,"N"
"Podarcis sicula","Negative",NA,NA,NA,"N"
"Hypostomus plecostomus",NA,NA,"Negative",NA,"N"
"Hypogeococcus pungens",NA,NA,NA,NA,"N"
"Cyanthillium cinereum","Negative","Negative",NA,"Positive and negative","N"
"Russelia equisetiformis",NA,NA,NA,"Positive","N"
"Sacciolepis indica",NA,NA,NA,NA,"N"
"Euphorbia hypericifolia","Negative",NA,NA,"Negative","N"
"Oryza barthii","Negative",NA,NA,NA,"N"
"Salsola paulsenii","Negative",NA,NA,NA,"N"
"Danthonia decumbens",NA,NA,NA,NA,"N"
"Microstegium vimineum",NA,NA,NA,"Negative","Y"
"Lymantria dispar",NA,"Negative","None, None","None","Y"
"Lymantria monacha",NA,"Negative, Negative","None, None, None, None","Negative, Negative","N"
"Myriophyllum aquaticum","Negative",NA,"Negative",NA,"Y"
"Myriophyllum heterophyllum","Negative",NA,"Negative",NA,"N"
"Myriophyllum spicatum",NA,NA,"Negative",NA,"N"
"Furcraea foetida",NA,NA,NA,NA,"N"
"Lythrum salicaria","Negative","None","Negative","None","N"
"Thunbergia grandiflora",NA,NA,NA,NA,"N"
"Tibouchina herbacea",NA,"Negative",NA,NA,"N"
"Helminthotheca echioides","Negative",NA,NA,NA,"N"
"Chloris virgata","Negative",NA,NA,NA,"N"
"Christella dentata",NA,NA,NA,NA,"N"
"Passiflora tarminiana",NA,NA,NA,NA,"Y"
"Candidatus Phytoplasma australiense","exclude","exclude","exclude","exclude","exclude"
"Tradescantia spathacea",NA,NA,NA,"Negative","N"
"Pluchea carolinensis","Negative",NA,NA,"Positive","N"
"Marisa cornuarietis","Negative",NA,NA,NA,"N"
"Myzus persicae",NA,NA,NA,NA,"Y"
"Nasturtium officinale",NA,NA,NA,NA,"Y"
"Aira caryophyllea",NA,NA,NA,NA,"N"
"Papilio demoleus",NA,NA,NA,NA,"N"
"Nandina domestica","Negative",NA,NA,NA,"Y"
"Leonurus japonicus",NA,NA,NA,"Positive and negative","N"
"Passiflora edulis",NA,"Negative",NA,"Positive and negative","Y"
"Akebia quinata",NA,"Negative",NA,"Negative","Y"
"Alliaria petiolata","Negative","Negative","None, None","None","Y"
"Senecio glastifolius","Negative",NA,NA,NA,"Y"
"Senna alata","Negative",NA,NA,NA,"Y"
"Senna surattensis","Negative",NA,NA,NA,"N"
"Teredo navalis",NA,NA,"Negative","Negative","Y"
"Annona cherimola",NA,NA,NA,"Negative","N"
"Annona glabra","Negative",NA,NA,NA,"N"
"Annona muricata","Negative",NA,NA,"Negative","Y"
"Annona reticulata","Negative",NA,"Positive and negative, Positive and negative","Negative","Y"
"Cassava mosaic disease","exclude","exclude","exclude","exclude","exclude"
"Annona squamosa",NA,NA,NA,"Positive","Y"
"Leptographium procerum",NA,"Negative","None, None","None","Y"
"Aonidiella aurantii",NA,NA,NA,NA,"Y"
"Bemisia tabaci (MEAM1)",NA,"None","None, None","None","Y"
"Bemisia tabaci",NA,"None","None, None","None","Y"
"Aonidomytilus albus",NA,"None","None, None","None","N"
"Meloidogyne arenaria","exclude","exclude","exclude","exclude","exclude"
"Meloidogyne chitwoodi","exclude","exclude","exclude","exclude","exclude"
"Meloidogyne enterolobii","exclude","exclude","exclude","exclude","exclude"
"Meloidogyne ethiopica","exclude","exclude","exclude","exclude","exclude"
"Meloidogyne hapla","exclude","exclude","exclude","exclude","exclude"
"Meloidogyne incognita","exclude","exclude","exclude","exclude","exclude"
"Meloidogyne javanica","exclude","exclude","exclude","exclude","exclude"
"Nicotiana glauca","Negative",NA,NA,"Negative","Y"
"Nicotiana tabacum","Negative",NA,NA,"Negative","Y"
"Meligethes aeneus",NA,"None","None, None","None","N"
"Nipaecoccus viridis",NA,NA,NA,NA,"N"
"Pectinophora gossypiella",NA,NA,NA,NA,"N"
"Amaranthus hybridus",NA,NA,NA,NA,"N"
"Amaranthus dubius",NA,NA,NA,"Positive and negative","Y"
"Amaranthus blitum",NA,NA,NA,NA,"N"
"Amaranthus retroflexus",NA,NA,NA,NA,"N"
"Amaranthus spinosus","Negative",NA,NA,"Positive and negative","N"
"Amaranthus viridis",NA,NA,NA,NA,"Y"
"Ambrosia artemisiifolia","Negative","Negative","None, None","Negative","Y"
"Ambrosia psilostachya","Negative","None","None, None","Negative","N"
"Ambrosia trifida","Negative","None","None, None","Negative","N"
"Mucuna pruriens","Negative",NA,NA,"Negative","N"
"Muntingia calabura",NA,NA,NA,"Positive","Y"
"Murdannia nudiflora","Negative",NA,NA,NA,"N"
"Phytoplasma mali","exclude","exclude","exclude","exclude","exclude"
"Aeschynomene americana","Negative",NA,NA,NA,"N"
"Anethum graveolens",NA,NA,NA,NA,"Y"
"Ciborinia allii","Negative",NA,NA,NA,"Y"
"Urochloa distachya","Negative",NA,NA,NA,"N"
"Urochloa mutica","Negative",NA,NA,NA,"Y"
"Urochloa reptans","Negative",NA,NA,NA,"N"
"Acacia dealbata",NA,"None","None, None","None","Y"
"Acacia decurrens",NA,"None","None, None","None","Y"
"Acacia farnesiana","Negative","None","None, None","None","N"
"Acacia hockii","Negative",NA,NA,NA,"N"
"Anagallis arvensis",NA,NA,NA,NA,"Y"
"Anguina tritici","exclude","exclude","exclude","exclude","exclude"
"Aleurites moluccanus",NA,NA,NA,NA,"N"
"Aleurodicus dispersus",NA,"None","None, None","Negative","N"
"Asclepias curassavica","Negative",NA,NA,"Negative","N"
"Columba livia","Negative",NA,NA,"Negative","N"
"Aloe vera",NA,NA,NA,NA,"N"
"Herpestes auropunctatus",NA,NA,NA,NA,"N"
"Bidens pilosa",NA,NA,NA,NA,"Y"
"Dolichandra unguis-cati",NA,NA,NA,NA,"N"
"Clarias gariepinus",NA,NA,"Positive, Positive",NA,"N"
"classical swine fever",NA,NA,NA,NA,"N"
"Crotalaria retusa",NA,NA,NA,"Positive and negative","N"
"Edwardsiella septicaemia (Edwardsiella tarda infection)",NA,NA,"Negative, Negative","Negative","N"
"Esox lucius",NA,NA,"Negative",NA,"Y"
"Cyprinella lutrensis",NA,NA,NA,NA,"N"
"Sophonia orientalis",NA,"Negative","None, None","None","N"
"Sorghum halepense","Negative","Negative",NA,NA,"Y"
"Thrips imaginis",NA,"None","None, None","None","Y"
"Thrips palmi",NA,NA,NA,NA,"N"
"Wisteria sinensis","Negative","Negative",NA,"Negative","Y"
"Wheat streak mosaic virus","exclude","exclude","exclude","exclude","exclude"
"Xanthium spinosum","Negative",NA,NA,NA,"N"
"Xanthium strumarium",NA,NA,NA,NA,"Y"
"Undaria pinnatifida",NA,NA,"Negative, Negative",NA,"N"
"Tamarix ramosissima","Negative","Negative","Negative, Negative","Negative","N"
"Tabebuia rosea",NA,NA,NA,"Positive","Y"
"Stachys arvensis","Negative",NA,NA,"Negative","N"
"Tribulus terrestris","Negative","None","None, None","None","Y"
"Zingiber montanum",NA,NA,NA,NA,"Y"
"Zingiber officinale",NA,NA,NA,NA,"N"
"Zingiber zerumbet",NA,NA,NA,NA,"N"
"Ziziphus mauritiana","Negative","None","None, None","None","Y"
"Ziziphus spina-christi",NA,NA,NA,"Positive","N"
"Tephrosia candida",NA,NA,NA,NA,"Y"
"Sirococcus clavigignenti-juglandacearum",NA,NA,NA,NA,"Y"
"Sirex noctilio",NA,NA,NA,NA,"N"
"Sisymbrium irio",NA,NA,NA,NA,"N"
"visna/maedi",NA,NA,NA,NA,"N"
"Vulpes vulpes","Negative",NA,NA,NA,"N"
"Xiphinema diversicaudatum","exclude","exclude","exclude","exclude","exclude"
"Xiphinema index","exclude","exclude","exclude","exclude","exclude"
"Xyleborinus saxesenii",NA,"Negative, Negative","None, None, None, None","None, None","Y"
"Artemia",NA,NA,NA,NA,"N"
"Culicoides",NA,NA,NA,NA,"N"
"Limnomysis benedeni",NA,NA,NA,NA,"N"
"Campylopus introflexus",NA,NA,NA,NA,"N"
"Erwinia amylovora","exclude","exclude","exclude","exclude","exclude"
"Elaeagnus angustifolia",NA,NA,NA,NA,"Y"
"Elodea canadensis",NA,NA,"Negative",NA,"N"
"Elodea nuttallii",NA,NA,"Negative",NA,"N"
"Heracleum mantegazzianum","Negative",NA,NA,"Negative","Y"
"Fallopia convolvulus","Negative",NA,NA,NA,"Y"
"Fallopia japonica",NA,NA,NA,NA,"Y"
"small hive beetle infestation",NA,NA,NA,NA,"Y"
"varroosis of honey bees",NA,NA,NA,NA,"Y"
"Plasmodium relictum infection",NA,NA,NA,NA,"N"
"European foul brood",NA,NA,NA,NA,"N"
"Digitaria eriantha",NA,NA,NA,NA,"Y"
"Digitaria insularis","Negative","Negative",NA,NA,"Y"
"Corymbia citriodora",NA,NA,NA,"Positive and negative","Y"
"Gonipterus scutellatus",NA,NA,NA,NA,"N"
"Chelicorophium curvispinum",NA,NA,NA,NA,"N"
"Dikerogammarus villosus",NA,NA,"Negative",NA,"N"
"Eucalyptus globulus",NA,NA,NA,NA,"Y"
"Ips typographus",NA,NA,NA,NA,"Y"
"Iris yellow spot virus","exclude","exclude","exclude","exclude","exclude"
"Eualetes tulipa",NA,NA,NA,NA,"N"
"Cordylophora",NA,NA,"Negative",NA,"N"
"Aegilops cylindrica","Negative",NA,NA,NA,"N"
"Fallopia x bohemica",NA,NA,NA,NA,"Y"
"Ulva pertusa",NA,NA,NA,"Positive","N"
"Ficopomatus enigmaticus",NA,NA,"Negative",NA,"N"
"Marenzelleria neglecta",NA,NA,NA,NA,"N"
"Ephestia kuehniella",NA,NA,NA,NA,"N"
"Avipoxvirus","exclude","exclude","exclude","exclude","exclude"
"Fraxinus uhdei",NA,"Negative",NA,"Negative","N"
"Dysmicoccus brevipes",NA,NA,NA,NA,"N"
"Elaeis guineensis",NA,NA,NA,"Positive","Y"
"Austrominius modestus",NA,NA,"Negative",NA,"N"
"Phenacoccus solenopsis","Negative",NA,NA,NA,"N"
"Gilpinia hercyniae",NA,NA,NA,NA,"Y"
"Hyphantria cunea",NA,NA,NA,NA,"Y"
"Glycaspis brimblecombei",NA,"Negative, Negative","None, None, None, None","None, None","N"
"Glechoma hederacea",NA,NA,NA,NA,"Y"
"Mesosphaerum pectinatum",NA,NA,NA,NA,"N"
"Gleditsia triacanthos",NA,"None","None, None","None","N"
"Galinsoga parviflora","Negative","Negative","Negative, Negative","Positive","Y"
"Jatropha curcas","Negative",NA,NA,"Negative","Y"
"Jatropha gossypiifolia","Negative","Negative","Negative","Negative","N"
"Fimbristylis littoralis","Negative",NA,NA,NA,"N"
"Hibiscus elatus",NA,NA,NA,NA,"Y"
"Hibiscus tiliaceus","Negative",NA,NA,"Positive","N"
"Ficus benjamina",NA,NA,NA,NA,"N"
"Ficus benghalensis",NA,NA,NA,NA,"N"
"Ficus carica",NA,NA,NA,NA,"Y"
"Pilosella aurantiaca","Negative","None","None, None","None","N"
"Pilosella caespitosa","Negative","None","None, None","None","N"
"Pilosella officinarum","Negative","None","None, None","None","N"
"Ficus elastica",NA,NA,NA,NA,"N"
"Juncus effusus","Negative",NA,NA,NA,"N"
"Oncorhynchus mykiss",NA,NA,"Positive, Positive",NA,"N"
"Oncorhynchus tshawytscha",NA,NA,NA,NA,"N"
"Ondatra zibethicus","Negative",NA,"Negative","Negative","N"
"Palaemon elegans",NA,NA,NA,NA,"N"
"Mytilus edulis",NA,NA,NA,NA,"N"
"Lutjanus kasmira",NA,NA,NA,NA,"N"
"Myxobolus cerebralis",NA,NA,"Negative",NA,"N"
"Melanoides tuberculata",NA,NA,"Negative","Positive and negative","N"
"Mephitis mephitis","Negative",NA,NA,"Negative","N"
"Ovis aries",NA,NA,NA,NA,"N"
"Mustela erminea",NA,NA,NA,NA,"N"
"Neovison vison","Negative",NA,"Negative",NA,"N"
"Ovis aries musimon","Negative",NA,NA,NA,"N"
"Mnemiopsis leidyi",NA,NA,"Negative",NA,"N"
"Faxonius limosus",NA,NA,"Negative",NA,"N"
"Orconectes virilis",NA,NA,NA,NA,"N"
"Oryctolagus cuniculus","Negative",NA,NA,NA,"N"
"Oreochromis aureus",NA,NA,NA,NA,"N"
"Oreochromis mossambicus",NA,NA,"Positive, Positive","Positive","N"
"Oreochromis niloticus",NA,NA,"Positive, Positive","Positive","N"
"leishmaniosis",NA,NA,NA,NA,"N"
"Leiothrix lutea",NA,NA,NA,NA,"N"
"Lepomis cyanellus",NA,NA,"Negative","Positive","N"
"Lepomis gibbosus",NA,NA,"Negative",NA,"N"
"Lepomis macrochirus",NA,NA,NA,NA,"N"
"Lepomis microlophus",NA,NA,NA,NA,"N"
"Vigna marina","Negative",NA,NA,"Positive","Y"
"Opuntia elatior","Negative",NA,NA,NA,"N"
"Plasmopara halstedii",NA,NA,NA,NA,"Y"
"Physalis angulata","Negative",NA,NA,NA,"N"
"Physalis peruviana","Negative",NA,NA,"Negative","Y"
"Paspalidium geminatum","Negative",NA,NA,"Positive","N"
"Persicaria wallichii",NA,NA,"Negative",NA,"N"
"Pepper mild mottle virus","exclude","exclude","exclude","exclude","exclude"
"elm yellows-associated phytoplasmas","exclude","exclude","exclude","exclude","exclude"
"Dickeya solani","exclude","exclude","exclude","exclude","exclude"
"Iva xanthiifolia","Negative",NA,NA,"Negative","N"
"Pratylenchus coffeae","exclude","exclude","exclude","exclude","exclude"
"Rhamnus cathartica",NA,"None","None, None","None","Y"
"Pittosporum undulatum",NA,"Negative",NA,NA,"N"
"Pityokteines curvidens",NA,"Negative, Negative","None, None, None, None","None, None","N"
"Scaevola taccada",NA,NA,NA,NA,"N"
"Polygonum aviculare",NA,NA,NA,NA,"Y"
"Polygonum lapathifolium",NA,NA,NA,NA,"Y"
"Polygonum persicaria","Negative","Negative","None, None","None","N"
"Puccinia graminis",NA,NA,NA,NA,"Y"
"Spodoptera eridania",NA,NA,NA,NA,"N"
"Spodoptera litura","Negative",NA,NA,NA,"Y"
"Prostephanus truncatus",NA,"None","None, None","None","Y"
"Ricinus communis","Negative","None","None, None","Negative","Y"
"Pissodes castaneus",NA,NA,NA,NA,"N"
"Pistia stratiotes","Negative",NA,"Negative","Negative","N"
"Rice yellow mottle virus","exclude","exclude","exclude","exclude","exclude"
"Rosmarinus officinalis",NA,NA,NA,NA,"Y"
"Robinia pseudoacacia","Negative","None","None, None","None","Y"
"Phleum pratense",NA,"Negative",NA,"Negative","Y"
"Phloeomyzus passerinii",NA,"Negative, Negative",NA,NA,"N"
"Phylacteophaga froggatti",NA,"Negative, Negative","None, None, None, None","None, None","N"
"Phlyctinus callosus",NA,NA,NA,NA,"Y"
"Senecio inaequidens","Negative","None","None, None","Negative","Y"
"Senecio jacobaea","Negative","None","None, None","None","Y"
"Senecio madagascariensis","Negative","None","None, None","Negative","Y"
"Senecio vulgaris","Negative","None","Negative, Negative","Negative","Y"
"Senna multijuga","Negative",NA,NA,NA,"N"
"Senna obtusifolia","Negative","Negative","None, None","None","Y"
"Senna septemtrionalis","Negative",NA,NA,NA,"N"
"Saperda populnea",NA,NA,NA,NA,"N"
"Phytoplasma pyri","exclude","exclude","exclude","exclude","exclude"
"Rhyzopertha dominica",NA,NA,NA,NA,"Y"
"Schinus molle",NA,NA,NA,NA,"Y"
"Schinus terebinthifolius","Negative","Negative","None, None","Negative","Y"
"Mycosphaerella dearnessii",NA,NA,NA,NA,"Y"
"Scirtothrips dorsalis",NA,NA,NA,NA,"N"
"bacterial kidney disease",NA,NA,"Negative, Negative",NA,"N"
"Anguillicoloides crassus","exclude","exclude","exclude","exclude","exclude"
"Ambloplites rupestris",NA,NA,"Negative",NA,"N"
"Ameiurus melas",NA,NA,"Negative",NA,"N"
"Ameiurus natalis",NA,NA,"Negative",NA,"N"
"Ameiurus nebulosus",NA,NA,"Negative","None","N"
